Number Of Vehicles Stopped - Horizontal,Total Waiting Time - Horizontal,Carbon Emissions Released - Horizontal,Number of Vehicles Predicted at Traffic Light - Horizontal,Number of Cars - Horizontal,Number of Buses - Horizontal,Number of Trucks - Horizontal,Number of Motorcycles - Horizontal,Number of Bicycles - Horizontal,Number Of Vehicles Stopped - Vertical,Total Waiting Time - Vertical,Carbon Emissions Released - Vertical,Number of Vehicles Predicted at Traffic Light - Vertical,Number of Cars - Vertical,Number of Buses - Vertical,Number of Trucks - Vertical,Number of Motorcycles - Vertical,Number of Bicycles - Vertical,Traffic Phase

0,0.0,0.0,0,0,0,0,0,0,1,16.0,2624.722222222222,1,2,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,17.0,2624.722222222222,1,2,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,18.0,6167.59778086595,1,2,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,19.0,6662.174273418603,1,2,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,20.0,2624.722222222222,1,2,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,21.0,8208.442217083282,1,2,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,1,1,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,1,1,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,1,1,0,0,0,0,0

0,0.0,3691.151569533836,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,0.0,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,2092.4434408799557,0,1,0,1,0,1,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,2625.1439647195584,0,1,0,1,0,1,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,3256.9462556518984,0,1,0,1,0,1,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,6649.787460080459,0,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,15312.175635063873,1,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,24008.081953378896,1,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,7426.177077865167,2,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,18182.14307062834,2,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,5440.632439048803,3,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,23056.00454021819,3,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,5009.005900295528,3,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,18030.55398980086,4,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,13472.176482755493,4,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,20025.931657136243,4,1,0,2,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,2101.1464914115763,3,1,0,2,0,0,0,0.0,3204.352688861051,1,1,0,0,0,0,1

0,0.0,5471.98253304522,3,1,0,2,0,0,0,0.0,3506.9953579041967,1,1,0,0,0,0,1

0,0.0,19331.07272719016,2,0,0,2,0,0,0,0.0,1899.8604954547804,2,2,0,0,0,0,1

0,0.0,0.0,3,1,0,2,0,0,0,0.0,3017.0155958978844,2,2,0,0,0,0,1

0,0.0,4741.075824585824,3,1,0,2,0,0,0,0.0,5726.483785967441,2,2,0,0,0,0,1

0,0.0,8963.839997962496,2,1,0,1,0,0,0,0.0,4451.168104743747,2,2,0,0,0,0,1

0,0.0,15016.050566207345,2,1,0,1,0,0,0,0.0,6644.705946124899,2,2,0,0,0,0,1

0,0.0,1796.4686936308944,1,1,0,0,0,0,0,0.0,2595.414488353417,2,2,0,0,0,0,1

0,0.0,4028.6611513978137,1,1,0,0,0,0,0,0.0,0.0,2,2,0,0,0,0,1

0,0.0,2146.423543786707,1,1,0,0,0,0,0,0.0,0.0,1,2,0,0,0,0,1

0,0.0,1562.3861802601284,1,1,0,0,0,0,0,0.0,7075.12522575247,1,2,0,1,0,0,1

0,0.0,0.0,0,0,0,0,0,0,1,1.0,6979.311091366797,1,2,0,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,2,3.0,15064.914095480508,2,2,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,2,5.0,30385.68383820533,2,2,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,2,7.0,26901.830126757588,2,2,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,2,9.0,5249.444444444444,2,2,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,2,11.0,5249.444444444444,2,2,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,6.0,2624.722222222222,1,1,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,1,1.0,5548.487360602444,0,1,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,11085.580991524153,1,1,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,12254.51755196762,1,0,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,13738.428153084027,1,0,1,1,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,13385.55962924954,0,0,1,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,12081.531619876745,1,0,1,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,17638.16507495825,1,0,1,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,19475.619270649633,1,0,1,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0

0,0.0,2998.406590781727,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,1766.0220486053145,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,0.0,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,17051.793128581747,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,24224.287924261476,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,29029.05392971789,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,0.0,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,10015.376915344352,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,3677.1647630792822,2,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,21780.518467778424,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,0.0,1,0,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,3390.8131222545007,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,0.0,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,2559.613000648849,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,2394.440487687465,0,2,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,5721.8686950519805,0,2,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,3219.3779270033524,0,2,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,10624.627213005686,0,2,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,15743.766045327735,0,2,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,5124.039443886177,1,2,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,12906.964649985022,2,2,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,11677.277476095718,1,2,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1

0,0.0,23120.84475979419,2,3,1,0,0,1,0,0.0,0.0,1,0,0,0,1,0,1

0,0.0,2786.150633073557,2,3,1,0,0,1,0,0.0,3672.4306552489434,1,0,0,0,1,0,1

0,0.0,8209.480350916752,3,4,1,0,0,1,0,0.0,2502.5044999319057,2,1,0,0,1,0,1

0,0.0,19664.951779575164,3,4,1,0,0,1,0,0.0,10756.405700191535,2,1,0,0,1,0,1

0,0.0,9161.635777977799,3,4,1,0,0,1,0,0.0,3469.6554817514357,2,1,0,0,1,0,1

0,0.0,11702.895642290276,4,4,1,0,1,1,0,0.0,9633.283739748234,2,1,0,0,1,0,1

0,0.0,8427.04801422474,4,4,1,0,1,1,0,0.0,5933.494767892599,2,1,0,0,1,0,1

0,0.0,19646.622577602608,3,4,1,0,1,0,0,0.0,2566.441280392238,2,1,0,0,1,0,1

0,0.0,19850.05935339865,3,5,1,0,1,0,0,0.0,3105.1895486114827,2,1,0,0,1,0,1

0,0.0,15469.482680127461,3,5,1,0,1,0,0,0.0,0.0,1,1,0,0,1,0,1

0,0.0,22810.158536652332,2,5,1,0,1,0,0,0.0,0.0,1,1,0,0,1,0,1

0,0.0,15602.278317110276,3,5,1,0,1,0,0,0.0,1190.7718141406774,1,1,0,0,1,0,1

0,0.0,13507.657117645693,4,5,1,0,1,0,1,1.0,1228.7139070864598,0,1,0,0,1,0,1

0,0.0,10951.148750999277,3,5,1,0,1,0,1,2.0,3744.5747740257557,0,1,0,0,1,0,1

0,0.0,12971.830113446416,3,5,1,0,1,0,1,3.0,3813.5159111908606,0,1,0,0,1,0,1

0,0.0,25737.095721064863,3,5,1,0,1,0,2,5.0,3846.8216878737694,0,1,0,0,1,0,1

0,0.0,13655.710103506412,3,5,0,1,1,0,2,7.0,6696.185091581827,1,2,0,0,1,0,1

0,0.0,10303.216326118933,3,5,0,1,1,0,2,9.0,3852.9867655490616,1,2,0,0,1,0,1

0,0.0,14945.239207179711,3,5,0,1,1,0,2,11.0,16615.64416133032,2,2,0,0,2,0,1

0,0.0,13738.794657279663,3,5,0,1,1,0,2,13.0,6969.978681555684,2,2,0,0,2,0,1

0,0.0,20793.72913478245,3,4,1,1,1,0,2,15.0,14393.384991112252,2,2,0,0,2,0,1

