Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4242.498392144343
0,0.0,0.0
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,2178.982666252544
0,0.0,4815.925335052578
0,0.0,0.0
0,0.0,6424.715625484451
0,0.0,0.0
0,0.0,4377.756496929352
0,0.0,7366.7009220337095
0,0.0,8270.571046661951
0,0.0,9492.825353685177
0,0.0,21167.439578325866
0,0.0,12651.673341979855
0,0.0,19145.904003380172
0,0.0,15456.710594104381
0,0.0,21749.04650213186
0,0.0,24950.01278561081
0,0.0,11527.257126903834
0,0.0,25307.642106165025
0,0.0,25776.302167389902
0,0.0,23815.72558393047
0,0.0,17126.282583473854
0,0.0,18609.708679848303
0,0.0,28476.727416837486
0,0.0,33323.36605235144
0,0.0,4991.526254251551
0,0.0,19279.828109149006
0,0.0,31765.741501446508
0,0.0,14251.276099769992
0,0.0,11592.397254926713
0,0.0,48375.955007522505
0,0.0,11131.793641125721
0,0.0,46888.21492659847
0,0.0,16158.151552355303
0,0.0,21488.596817363632
1,1.0,39903.98790487697
1,2.0,48313.645109958685
1,3.0,22147.755837991117
1,4.0,50764.82060738961
1,5.0,27052.048008651498
1,6.0,44905.396698629746
1,7.0,46763.41281126101
1,8.0,31889.917563314862
1,9.0,84395.2411662636
1,10.0,61128.29832823068
2,12.0,45231.53339052755
2,14.0,70122.95351322512
2,16.0,66775.6180728626
2,18.0,46456.24166859596
2,20.0,77665.12949409481
3,23.0,87248.20436158433
3,26.0,80714.14797751931
4,30.0,61002.431811675066
5,35.0,87424.0223062207
5,40.0,59868.87873716389
5,45.0,75807.47628688569
5,50.0,68415.48903549789
5,55.0,50926.158184670465
5,60.0,83360.27545519854
5,65.0,57979.641217972574
5,70.0,60004.417434757044
5,75.0,102312.57253665448
5,80.0,55422.23493715836
3,37.0,42936.2815875785
2,25.0,41621.66423060579
1,13.0,94744.11388596347
0,0.0,82702.93341054114
1,1.0,96907.2670000901
1,2.0,87671.29417383675
2,4.0,90636.9868210537
2,6.0,92994.81472420189
2,8.0,87140.27127970208
2,10.0,72345.94973471324
2,12.0,129391.6061232044
2,14.0,60404.40079434374
2,16.0,79211.28808582622
2,18.0,31544.339619034185
2,20.0,83017.18741284788
2,22.0,57257.25829094325
2,24.0,59788.314412215695
2,26.0,62548.15059026717
3,29.0,65699.5068159891
3,32.0,88981.47054249293
3,35.0,94458.43534692834
3,38.0,33121.1135159096
3,41.0,71382.40762219811
3,44.0,33880.987261527116
3,47.0,64986.29318476491
3,50.0,23448.569277171333
4,54.0,49348.61597457499
4,58.0,41286.55022023971
5,63.0,47349.75265126877
5,68.0,44878.12056231256
6,74.0,65188.6637947501
6,80.0,63215.09111185649
6,86.0,71405.09662209479
7,93.0,64900.098530473006
7,100.0,43191.68301773546
7,107.0,57339.22725359421
7,114.0,37430.45708690793
6,76.0,31218.78470363108
4,38.0,47436.727377259675
2,10.0,71076.71190421976
1,8.0,46898.62385625308
2,10.0,77197.6951758535
2,12.0,43735.143936082386
2,14.0,89817.81045248435
2,16.0,35607.13424729654
2,18.0,57108.8796789101
2,20.0,17940.435727870095
2,22.0,64342.39842932415
2,24.0,21994.50070079023
2,26.0,42762.04824003813
2,28.0,50321.61943200017
